0.00470582,0.00676008,0.00843983,0.00933264,0.00980656,0.00980656,0.00933264,0.00843983,0.00676008,0.00470582
0.00676008,0.00839004,0.00973562,0.01045418,0.01083546,0.01083546,0.01045418,0.00973562,0.00839004,0.00676008
0.00843983,0.00973562,0.01082772,0.01141731,0.01173133,0.01173133,0.01141731,0.01082772,0.00973562,0.00843983
0.00933264,0.01045418,0.01141731,0.01196547,0.01226014,0.01226014,0.01196547,0.01141731,0.01045418,0.00933264
0.00980656,0.01083546,0.01173133,0.01226014,0.01256467,0.01256467,0.01226014,0.01173133,0.01083546,0.00980656
0.00980656,0.01083546,0.01173133,0.01226014,0.01256467,0.01256467,0.01226014,0.01173133,0.01083546,0.00980656
0.00933264,0.01045418,0.01141731,0.01196547,0.01226014,0.01226014,0.01196547,0.01141731,0.01045418,0.00933264
0.00843983,0.00973562,0.01082772,0.01141731,0.01173133,0.01173133,0.01141731,0.01082772,0.00973562,0.00843983
0.00676008,0.00839004,0.00973562,0.01045418,0.01083546,0.01083546,0.01045418,0.00973562,0.00839004,0.00676008
0.00470582,0.00676008,0.00843983,0.00933264,0.00980656,0.00980656,0.00933264,0.00843983,0.00676008,0.00470582
